County Description,Year,Community Water System (CWS),Concentration,Concentration,System Population Served,County,Percent Pop Served
Plymouth,2014,Abington/Rockland Joint Water Works,66.2,ug/L,33404,16985.07686,99
Plymouth,2014,Abington/Rockland Joint Water Works,95.2,ug/L,33404,16985.07686,99
Plymouth,2014,Abington/Rockland Joint Water Works,98.4,ug/L,33404,16985.07686,99
Plymouth,2015,Abington/Rockland Joint Water Works,84,ug/L,33404,17223.81518,99
